ebook_id,story_name,line_start_in,line_end_ex
677,perseus,316,367
677,perseus,370,443
677,perseus,450,767
677,perseus,774,1044
677,perseus,1051,1201
677,perseus,1204,1405
677,perseus,1412,1558
677,the_argonauts,1569,1604
677,the_argonauts,1607,1784
677,the_argonauts,1787,1829
677,the_argonauts,1836,1951
677,the_argonauts,1954,2127
677,the_argonauts,2134,2238
677,the_argonauts,2245,2924
677,the_argonauts,2927,2957
677,the_argonauts,2964,3711
677,the_argonauts,3718,3790
677,theseus,3801,3878
677,theseus,3881,3927
677,theseus,3934,4718
677,theseus,4725,4855
677,theseus,4858,4875
677,theseus,4882,4937
677,theseus,4940,4953
2892,the_story_of_tuan_mac_cairill,64,109
2892,the_story_of_tuan_mac_cairill,114,201
2892,the_story_of_tuan_mac_cairill,206,275
2892,the_story_of_tuan_mac_cairill,280,342
2892,the_story_of_tuan_mac_cairill,347,427
2892,the_story_of_tuan_mac_cairill,432,503
2892,the_story_of_tuan_mac_cairill,508,554
2892,the_story_of_tuan_mac_cairill,559,608
2892,the_story_of_tuan_mac_cairill,613,691
2892,the_story_of_tuan_mac_cairill,696,745
2892,the_boyhood_of_fionn,766,846
2892,the_boyhood_of_fionn,851,911
2892,the_boyhood_of_fionn,916,960
2892,the_boyhood_of_fionn,965,1035
2892,the_boyhood_of_fionn,1040,1115
2892,the_boyhood_of_fionn,1120,1183
2892,the_boyhood_of_fionn,1188,1282
2892,the_boyhood_of_fionn,1287,1439
2892,the_boyhood_of_fionn,1444,1548
2892,the_boyhood_of_fionn,1553,1712
2892,the_boyhood_of_fionn,1717,1840
2892,the_boyhood_of_fionn,1845,1948
2892,the_boyhood_of_fionn,1953,2095
2892,the_boyhood_of_fionn,2100,2212
2892,the_birth_of_bran,2222,2290
2892,the_birth_of_bran,2295,2406
2892,the_birth_of_bran,2411,2493
2892,the_birth_of_bran,2498,2602
2892,the_birth_of_bran,2607,2689
2892,oisins_mother,2698,2789
2892,oisins_mother,2794,2919
2892,oisins_mother,2924,3036
2892,oisins_mother,3041,3113
2892,oisins_mother,3118,3191
2892,oisins_mother,3196,3236
2892,oisins_mother,3241,3289
2892,the_wooing_of_becfola,3299,3493
2892,the_wooing_of_becfola,3498,3648
2892,the_wooing_of_becfola,3653,3759
2892,the_wooing_of_becfola,3764,3830
2892,the_wooing_of_becfola,3835,3964
2892,the_little_brawl_at_allen,3974,4081
2892,the_little_brawl_at_allen,4090,4288
2892,the_little_brawl_at_allen,4293,4421
2892,the_carl_of_the_drab_coat,4431,4584
2892,the_carl_of_the_drab_coat,4589,4665
2892,the_carl_of_the_drab_coat,4670,4716
2892,the_carl_of_the_drab_coat,4721,4778
2892,the_carl_of_the_drab_coat,4783,4903
2892,the_carl_of_the_drab_coat,4908,4990
2892,the_carl_of_the_drab_coat,4995,5099
2892,the_carl_of_the_drab_coat,5104,5183
2892,the_enchanted_cave_of_cesh_corran,5193,5233
2892,the_enchanted_cave_of_cesh_corran,5238,5320
2892,the_enchanted_cave_of_cesh_corran,5325,5393
2892,the_enchanted_cave_of_cesh_corran,5398,5471
2892,the_enchanted_cave_of_cesh_corran,5476,5547
2892,the_enchanted_cave_of_cesh_corran,5552,5642
2892,becuma_of_the_white_skin,5652,5729
2892,becuma_of_the_white_skin,5734,5788
2892,becuma_of_the_white_skin,5793,5885
2892,becuma_of_the_white_skin,5890,5969
2892,becuma_of_the_white_skin,5974,6048
2892,becuma_of_the_white_skin,6053,6140
2892,becuma_of_the_white_skin,6145,6261
2892,becuma_of_the_white_skin,6266,6384
2892,becuma_of_the_white_skin,6389,6476
2892,becuma_of_the_white_skin,6481,6629
2892,mongans_frenzy,6638,6694
2892,mongans_frenzy,6699,6755
2892,mongans_frenzy,6760,6792
2892,mongans_frenzy,6797,6869
2892,mongans_frenzy,6874,6922
2892,mongans_frenzy,6927,7012
2892,mongans_frenzy,7016,7149
2892,mongans_frenzy,7154,7212
2892,mongans_frenzy,7217,7266
2892,mongans_frenzy,7271,7349
2892,mongans_frenzy,7354,7452
2892,mongans_frenzy,7457,7533
2892,mongans_frenzy,7538,7627
2892,mongans_frenzy,7632,7735
2892,mongans_frenzy,7740,7833
2892,mongans_frenzy,7838,7886
2892,mongans_frenzy,7891,7961
2892,mongans_frenzy,7966,8085
2892,mongans_frenzy,8090,8203
2892,mongans_frenzy,8208,8361
4018,my_lord_bag_of_rice,127,364
4018,the_tongue_cut_sparrow,371,510
4018,the_tongue_cut_sparrow,514,706
4018,the_story_of_urashima_taro_the_fisher_lad,713,885
4018,the_story_of_urashima_taro_the_fisher_lad,889,1180
4018,the_farmer_and_the_badger,1187,1418
4018,the_shinansha_or_the_south_pointing_carriage,1425,1553
4018,the_adventures_of_kintaro_the_golden_boy,1560,1920
4018,the_story_of_princess_hase,1928,2231
4018,the_story_of_the_man_who_did_not_wish_to_die,2238,2510
4018,the_bamboo_cutter_and_the_moon_child,2517,3075
4018,the_mirror_of_matsuyama,3083,3600
4018,the_goblin_of_adachigahara,3607,3784
4018,the_sagacious_monkey_and_the_boar,3791,3889
4018,the_happy_hunter_and_the_skillful_fisher,3896,4521
4018,the_story_of_the_old_man_who_made_withered_trees_to_flower,4528,4813
4018,the_jelly_fish_and_the_monkey,4820,5178
4018,the_quarrel_of_the_monkey_and_the_crab,5185,5453
4018,the_white_hare_and_the_crocodiles,5460,5705
4018,the_story_of_prince_yamato_take,5712,6238
4018,momotaro_or_the_story_of_the_son_of_a_peach,6245,6759
4018,the_ogre_of_rashomon,6766,7006
4018,how_an_old_man_lost_his_wen,7013,7241
4018,the_stones_of_five_colors_and_the_empress_jokwa,7249,7575
4357,the_box_of_robbers,56,464
4357,the_glass_dog,471,851
4357,the_queen_of_quok,858,1248
4357,the_girl_who_owned_a_bear,1255,1585
4357,the_enchanted_types,1592,1852
4357,the_laughing_hippopotamus,1859,2254
4357,the_magic_bon_bons,2261,2531
4357,the_capture_of_father_tim,2538,2875
4357,the_wonderful_pump,2882,3289
4357,the_dummy_that_lived,3296,3631
4357,the_king_of_the_polar_bears,3638,3842
4357,the_mandarin_and_the_butterfly,3849,4144
6622,hiawatha,248,396
6622,beowulf,407,783
6622,childe_horn,792,1355
6622,rustem_and_sohrab,1464,2536
6622,the_seven_sleepers_of_ephesus,2548,2584
6622,the_seven_sleepers_of_ephesus,2587,2681
6622,guy_of_warwick,2690,3363
6622,the_fate_of_the_children_of_lir,3699,4318
6622,prester_john,4395,4670
6622,the_beato_torello_da_poppi,5303,5466
6622,rip_van_winkle,5834,6445
6622,the_gray_champion,6454,6741
6622,the_legend_of_sleepy_hollow,6751,7808
7128,the_lion_and_the_crane,333,382
7128,how_the_rajas_son_won_the_princess_labam,391,479
