ID,story,V_EWE,A_EWE
1,"the_mouse,_the_bird,_and_the_sausage",0.469,0.184
2,"the_mouse,_the_bird,_and_the_sausage",0.8,0.355
3,"the_mouse,_the_bird,_and_the_sausage",0.613,0.184
4,"the_mouse,_the_bird,_and_the_sausage",0.613,0.184
5,"the_mouse,_the_bird,_and_the_sausage",0.613,0.184
6,"the_mouse,_the_bird,_and_the_sausage",0.188,0.369
7,"the_mouse,_the_bird,_and_the_sausage",0.346,0.184
8,"the_mouse,_the_bird,_and_the_sausage",0.352,0.184
9,"the_mouse,_the_bird,_and_the_sausage",0.512,0.561
10,"the_mouse,_the_bird,_and_the_sausage",0.138,0.865
11,"the_mouse,_the_bird,_and_the_sausage",0.058,0.288
12,"the_mouse,_the_bird,_and_the_sausage",0.352,0.184
13,"the_mouse,_the_bird,_and_the_sausage",0.352,0.184
14,"the_mouse,_the_bird,_and_the_sausage",0.352,0.184
15,"the_mouse,_the_bird,_and_the_sausage",0.223,0.635
16,"the_mouse,_the_bird,_and_the_sausage",0.065,0.667
17,"the_mouse,_the_bird,_and_the_sausage",0.216,0.256
18,"the_mouse,_the_bird,_and_the_sausage",0.052,0.288
19,"the_mouse,_the_bird,_and_the_sausage",0.052,0.288
20,"the_mouse,_the_bird,_and_the_sausage",0.073,0.691
21,"the_mouse,_the_bird,_and_the_sausage",0.225,0.659
22,"the_mouse,_the_bird,_and_the_sausage",0.075,0.864
23,"the_mouse,_the_bird,_and_the_sausage",0.075,0.864
24,"the_mouse,_the_bird,_and_the_sausage",0.075,0.864
25,ashputtel,0.182,0.257
26,ashputtel,0.051,0.287
27,ashputtel,0.321,0.225
28,ashputtel,0.182,0.257
29,ashputtel,0.182,0.603
30,ashputtel,0.182,0.453
31,ashputtel,0.182,0.257
32,ashputtel,0.182,0.407
33,ashputtel,0.182,0.407
34,ashputtel,0.468,0.184
35,ashputtel,0.468,0.184
36,ashputtel,0.468,0.184
37,ashputtel,0.468,0.184
38,ashputtel,0.468,0.184
39,ashputtel,0.051,0.287
40,ashputtel,0.511,0.433
41,ashputtel,0.468,0.184
42,ashputtel,0.468,0.184
43,ashputtel,0.051,0.287
44,ashputtel,0.051,0.633
45,ashputtel,0.337,0.214
46,ashputtel,0.344,0.376
47,ashputtel,0.344,0.376
48,ashputtel,0.344,0.376
49,ashputtel,0.344,0.376
50,ashputtel,0.344,0.376
51,ashputtel,0.344,0.376
52,ashputtel,0.508,0.545
53,ashputtel,0.786,0.513
54,ashputtel,0.796,0.563
55,ashputtel,0.167,0.865
56,ashputtel,0.362,0.457
57,ashputtel,0.362,0.457
58,ashputtel,0.468,0.184
59,ashputtel,0.468,0.184
60,ashputtel,0.468,0.184
61,ashputtel,0.344,0.376
62,ashputtel,0.344,0.376
63,ashputtel,0.344,0.376
64,ashputtel,0.632,0.353
65,ashputtel,0.632,0.353
66,ashputtel,0.632,0.353
67,ashputtel,0.796,0.563
68,ashputtel,0.051,0.776
69,ashputtel,0.051,0.287
70,ashputtel,0.198,0.246
71,ashputtel,0.786,0.513
72,ashputtel,0.796,0.563
73,ashputtel,0.96,0.732
74,ashputtel,0.796,0.563
75,ashputtel,0.468,0.184
76,ashputtel,0.468,0.184
77,ashputtel,0.468,0.184
78,ashputtel,0.468,0.184
79,ashputtel,0.468,0.184
80,ashputtel,0.622,0.344
81,ashputtel,0.96,0.732
82,ashputtel,0.96,0.732
83,ashputtel,0.468,0.184
84,ashputtel,0.468,0.184
85,ashputtel,0.468,0.184
86,ashputtel,0.596,0.386
87,ashputtel,0.468,0.184
88,ashputtel,0.468,0.184
89,ashputtel,0.468,0.184
90,ashputtel,0.622,0.344
91,ashputtel,0.96,0.732
